__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Mińsk Maz.;p;19:30;19:35;19:58;;20:30;20:58;21:30;21:58;22:30;23:31;00:32;
Mińsk Maz.;o;19:39;19:36;19:59;;20:31;21:10;21:31; ;22:31;23:32;00:33;
Mińsk Maz. Anielina;o o;19:41;|;20:02;;20:33;21:13;21:33;;22:33;23:35;00:36;
Barcząca;;19:44;|;20:05;;20:36;21:16;21:36;;22:36;23:38;00:39;
Mienia;o o;19:48;|;20:08;;20:40;21:20;21:40;;22:40;23:41;00:43;
Cegłów;;19:51;19:43;20:12;;20:43;21:23;21:43;;22:43;23:44;00:46;
Mrozy;p;19:54;19:47;20:16;;20:46;21:27;21:46;;22:46;23:48;00:50;
Grodziszcze Maz.;o o;19:55;19:48; ;;20:47;21:27;21:47;;22:47;23:48;00:51;
Grodziszcze Maz.;;19:59;|;;;20:51;21:31;21:51;;22:51;23:52;00:55;
Sosnowe;o o;20:03;|;;;20:55;21:35;21:55;;22:55;23:56;00:59;
Koszewnica;;20:06;|;;;20:58;21:38;21:58;;22:58;23:59;01:02;
Kotuń;o o;20:10;19:57;;;21:02;21:42;22:02;;23:02;00:03;01:06;
Sabinka;;20:15;|;;;21:07;21:48;22:07;;23:07;00:08;01:11;
Siedlce Zach.;o;20:18;20:05;;;21:10;21:52;22:10;;23:10;00:12;01:15;
Siedlce;p;20:21;20:08;; ;21:13;21:55;22:13;;23:13;00:14;01:18;
Siedlce;o; ;20:09;;21:18; ; ; ;; ;00:15; ;
Siedlce Wschodnie;o o;;20:12;;21:21;;;;;;00:18;;
Białki Siedleckie;;;20:15;;21:24;;;;;;00:21;;
Kosiorki;o o;;20:18;;21:27;;;;;;00:24;;
Borki Kosy;;;20:21;;21:30;;;;;;00:26;;
