R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
123,53;£uków;;;;;;;;18:08;;;;18:57;
Do stacji : ;;;;;;;;;;Pilawa;;;;
UWAGI :;;;;;;;;;;;;;;
;[1];poc. kursuje przez Sulejówek Mi³osna;;;;;;;;;;;;
;;;;;;;;;;;;;;
R2;;;R2;R2;RE2;R2;R2;R2;R2;R2;R2;RE2;R2;R2
Warszawa - £uków wa¿ny od 23.XI do 8.XII;;;19223 (B);19813 (D);93862/3;93946/7;19879;10467 (D);93740/1;19881;21632/3;19233 (B);19883;10469
Km Od stacji : ;;;;;(D);(D);;;(D);;(D);;;
;;;;;¯yrardów;Piaseczno;;;GRODZISK MAZ.;;Radom;;;
0;Warszawa Zachodnia Warszawa Ochota;o o;17:06;17:25;17:28 <;17:43;17:47;;18:17;18:47;19:17;19:30 <;19:47;
2,175;;;17:10;17:29;;17:47;17:51;;18:21;18:51;19:21;;19:51;
3,082;Warszawa Œródmieœcie;o;17:13;17:32;< ;17:50;17:54;;18:24;18:54;19:24;< ;19:54;
3,082;Warszawa Centralna;p;< ;< ;17:32;< ;< ;;< ;< ;< ;19:34;< ;
;;o;< ;< ;17:40;< ;< ;;< ;< ;< ;19:40;< ;
4,872;Warszawa Powiœle Warszawa Stadion;o o;17:16;17:35;< ;17:53;17:57;;18:27;18:57;19:27;< ;19:57;
6,278;;;17:19;17:37;< ;17:56;18:00;;18:29;19:00;19:30;< ;20:00;
7,336;Warszawa Wschodnia;p;17:21;17:39;17:46;17:58;18:02;;18:31;19:02;19:32;19:46;20:02;
;;o;17:22;17:40;17:53;17:59;18:04;;18:33;19:03;19:33;19:51;20:03;
14,835;Warszawa Rembertów;p;17:29;17:47;|;18:06;18:10;;18:40;19:09;19:39;|;20:09;
;;o;17:30;17:48;|; ;18:11;;18:41;19:10;19:40;|;20:10;
19,467;W-wa Weso³a;o o;17:34;17:52;|;;18:16;;18:46;19:15;19:45;|;20:15;
21,265;W-wa Wola Grzybowska;;17:37;17:54;|;;18:18;;18:48;19:17;19:48;|;20:17;
23,071;Sulejówek;o;17:39;17:57;|;;18:21;;18:51;19:20;19:50;|;20:20;
24,649;Sulejówek Mi³osna;p;17:41;17:59;|;;18:22;;18:53;19:21;19:52;|;20:21;
;;o;17:42;17:59;|;;18:23;;18:54;19:22;19:53;|;20:22;
28,746;Halinów Cisie;o o;17:45;18:03;18:11;;18:26;;18:58;19:25;19:56;20:06;20:25;
