stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Bêdzin Ksawera;50.330556;19.1575;0;0;0;0;36;0;0;0;0
Bêdzin Miasto;50.319444;19.135556;0;0;0;0;40;0;3;0;0
Bêdzino;54.211111;15.991944;0;0;0;0;0;0;4;0;0
BêdŸmirowice;53.787222;18.045833;12;0;0;0;0;0;0;0;0
B³aszki;51.673269;18.470864;0;0;0;0;0;0;11;0;0
B³onie;52.186556;20.608119;0;0;43;0;0;0;0;0;0
B³otnica;51.993889;16.294167;0;0;0;10;0;0;0;0;0
B³otnica Strzelecka;50.48375;18.404222;0;0;0;0;0;0;12;0;0
B³¹dzim;53.475903;18.115575;15;0;0;0;0;0;0;0;0
Ceg³ów;52.148611;21.736667;0;0;52;0;0;0;0;0;0
Cekcyn;53.576389;18.0275;13;0;0;0;0;0;0;0;0
Celestynów;52.058804;21.391952;0;0;39;0;0;0;0;0;0
Cerkiewnik;53.909167;20.396667;0;0;0;0;0;0;4;0;0
Chabówka;49.596944;19.938056;0;0;0;0;0;10;20;0;0
Charsznica;50.395833;19.942222;0;0;0;0;0;0;8;0;0
Cha³upki;49.925556;18.311667;0;0;0;0;4;0;0;0;0
Chech³o;51.645278;19.286667;0;0;0;0;0;0;30;0;0
Che³m;51.140833;23.494444;0;0;0;0;0;2;18;0;0
Che³m Cementownia;51.140833;23.543889;0;0;0;0;0;0;8;0;0
Che³m Miasto;51.138333;23.458889;0;0;0;0;0;2;26;0;0
Che³m Œl¹ski;50.115556;19.182222;0;0;0;0;13;0;0;0;0
Che³mek Fabryka;50.100278;19.254722;0;0;0;0;0;0;24;0;0
Che³mek Wo³owski;51.455833;16.359167;0;0;0;0;0;0;18;0;0
Che³m¿a;53.184722;18.598889;23;0;0;0;0;0;0;0;0
Chludowo;52.560278;16.825;0;0;0;0;0;0;15;0;0
Chmielniki Bydgoskie;53.003028;18.048306;6;0;0;0;0;0;8;0;0
Chmielowice;50.6507796;17.853736;0;0;0;0;0;0;12;0;0
Chocicza;52.069722;17.35;0;0;0;0;0;0;27;0;0
Chociszew;51.924333;19.267;0;0;0;0;0;1;9;0;0
Chociszewo Rogoziñskie;52.310263;15.768213;0;0;0;0;0;0;8;0;0
Chociwel;53.470833;15.335833;0;0;0;0;0;9;19;0;0
Chocznia;49.874444;19.452778;0;0;0;0;8;0;2;0;0
Chocznia Górna;49.859167;19.430833;0;0;0;0;8;0;2;0;0
Chodzie¿;52.993889;16.909444;0;0;0;0;0;6;16;0;0
Chojna;52.963361;14.44435;0;0;0;0;0;0;9;0;0
