R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
0;Warszawa Zachodnia Warszawa Ochota;o o;16:58;17:05;;17:20;17:21 <;17:39;;17:58;18:05;18:27;18:39;18:58 <
2,175;;;17:02;17:09;;17:24;;17:43;;18:02;18:09;18:31;18:43;
3,082;Warszawa Śródmieście;o;17:05;17:12;;17:27;< ;17:46;;18:05;18:13;18:35;18:46;< 
3,082;Warszawa Centralna;p;< ;< ;;< ;17:25;< ;;< ;< ;< ;< ;19:02
;;o;< ;< ;;< ;17:35;< ;;< ;< ;< ;< ;19:05
4,872;Warszawa Powiśle Warszawa Stadion;o o;17:08;17:15;;17:30;< ;17:49;;18:08;18:15;18:37;18:49;< 
6,278;;;17:10;17:17;;17:32;< ;17:51;;18:10;18:18;18:40;18:51;< 
7,336;Warszawa Wschodnia;p;17:12;17:19;;17:34;17:41;17:53;;18:12;18:20;18:42;18:53;19:11
;;o;17:13;17:20;;17:35;17:42;17:54;;18:13;18:21;18:43;18:54;19:13
14,835;Warszawa Rembertów;p;17:20;17:27;;17:42;|;18:00;;18:20;18:28;18:50;19:00;|
;;o; ;17:29;;17:43;|;18:01;; ;18:30;18:51;19:01;|
19,467;W-wa Wesoła;o o;;17:33;;17:47;|;18:05;;;18:34;18:55;19:05;|
21,265;W-wa Wola Grzybowska;;;17:35;;17:50;|;18:08;;;18:36;18:57;19:08;|
23,071;Sulejówek;o;;17:38;;17:52;|;18:10;;;18:39;19:00;19:10;|
24,649;Sulejówek Miłosna;p;;17:40;;17:54;|;18:12;;;18:41;19:02;19:12;|
;;o;;17:40;;18:02;|;18:12;;;18:41;19:02;19:12;|
28,746;Halinów Cisie;o o;;17:44;;18:05;18:01;18:16;;;18:45;19:06;19:16;19:27
31,895;;;;17:47;;18:08;|;18:19;;;18:48;19:09;19:19;|
34,433;Dębe Wielkie;o o;;17:50;;18:11;|;18:21;;;18:51;19:12;19:21;|
35,743;Nowe Dębe Wielkie;;;17:52;;18:13;|;18:23;;;18:53;19:14;19:23;|
38,882;Wrzosów;o;;17:55;;18:16;|;18:26;;;18:56;19:17;19:26;|
43,677;Mińsk Maz.;p;;17:58;;18:20;18:09;18:30;;;18:59;19:21;19:30;19:35
;;o;;17:59;; ;18:10;18:31;;;19:00; ;19:39;19:36
46,169;Mińsk Maz. Anielina Barcząca;o o;;18:02;;;|;18:33;;;19:03;;19:41;|
49,225;;;;18:05;;;|;18:36;;;19:06;;19:44;|
53,486;Mienia Cegłów;o o;;18:09;;;|;18:40;;;19:10;;19:48;|
56,866;;;;18:12;;;18:17;18:43;;;19:13;;19:51;19:44
61,767;Mrozy;p;;18:16;;;18:21;18:46;;;19:17;;19:54;19:47
66,876;Grodziszcze Maz.;o o;; ;;;18:21;18:47;;; ;;19:55;19:48
;;;;;;;|;18:51;;;;;19:59;|
71,847;Sosnowe Koszewnica;o o;;;;;|;18:55;;;;;20:03;|
75,251;;;;;;;|;18:58;;;;;20:06;|
80,51;Kotuń Sabinka;o o;;;;;18:30;19:02;;;;;20:10;19:59
88,427;;;;;;;|;19:07;;;;;20:15;|
92,945;Siedlce Zach.;o;;;;;18:37;19:10;;;;;20:18;20:06
95,776;Siedlce;p;;; ;;18:40;19:13; ;;;;20:21;20:08
;;o;;;18:45;; ; ;19:26;;;; ;20:09
98,496;Siedlce Wschodnie;o o;;;18:48;;;;19:29;;;;;20:12
100,417;Białki Siedleckie;;;;18:51;;;;19:32;;;;;20:15
103,415;Kosiorki;o o;;;18:54;;;;19:35;;;;;20:18
105,962;Borki Kosy;;;;18:57;;;;19:38;;;;;20:21
110,404;Dziewule Radomyśl;o o;;;19:01;;;;19:42;;;;;20:25
113,036;;;;;19:04;;;;19:45;;;;;20:28
